Country,Year,Inbound Country,Inbound Visitors,Outbound Country,Outbound Visitors,Distance,Cultural,Government_prioritization,Segurity_homocide,Segurity_terrorism,Natural_resources,Price_competitiveness,Service_infrastructure,Visa_requirements
Croatia,2017,Germany,211.0,Bosnia and Herzegovina,325.0,6.834512521964166,2.766214259585217,5.236226873686819,0.07935416017572165,6.9811449627337225,4.495361118798348,4.447005420461895,6.259391795889975,1.681260945709282
Croatia,2014,Austria,304.0,Germany,308.0,6.964290211995103,2.665695262958259,5.805416774973477,0.0840630472854641,6.9785,3.7976300718368377,4.284863003801394,6.34809086920392,1.6112084063047285
Croatia,2015,Austria,258.0,Germany,261.0,6.964290211995103,2.665695262958259,5.805416774973477,0.0840630472854641,6.9785,3.7976300718368377,4.284863003801394,6.34809086920392,1.6112084063047285
Croatia,2016,Austria,169.0,Germany,278.0,6.964290211995103,2.766214259585217,5.236226873686819,0.07935416017572165,6.9811449627337225,4.495361118798348,4.447005420461895,6.259391795889975,1.681260945709282
Croatia,2017,Austria,213.0,Germany,211.0,6.964290211995103,2.766214259585217,5.236226873686819,0.07935416017572165,6.9811449627337225,4.495361118798348,4.447005420461895,6.259391795889975,1.681260945709282
Croatia,2014,Slovenia,314.0,Italy,257.0,7.0,2.665695262958259,5.805416774973477,0.0840630472854641,6.9785,3.7976300718368377,4.284863003801394,6.34809086920392,1.6112084063047285
Croatia,2015,Slovenia,183.0,Italy,452.0,7.0,2.665695262958259,5.805416774973477,0.0840630472854641,6.9785,3.7976300718368377,4.284863003801394,6.34809086920392,1.6112084063047285
Croatia,2016,Slovenia,144.0,Italy,203.0,7.0,2.766214259585217,5.236226873686819,0.07935416017572165,6.9811449627337225,4.495361118798348,4.447005420461895,6.259391795889975,1.681260945709282
Croatia,2017,Slovenia,165.0,Italy,210.0,7.0,2.766214259585217,5.236226873686819,0.07935416017572165,6.9811449627337225,4.495361118798348,4.447005420461895,6.259391795889975,1.681260945709282
Croatia,2014,Italy,257.0,Slovenia,314.0,6.922787033022609,2.665695262958259,5.805416774973477,0.0840630472854641,6.9785,3.7976300718368377,4.284863003801394,6.34809086920392,1.6112084063047285
Croatia,2015,Italy,452.0,Slovenia,183.0,6.922787033022609,2.665695262958259,5.805416774973477,0.0840630472854641,6.9785,3.7976300718368377,4.284863003801394,6.34809086920392,1.6112084063047285
Croatia,2016,Italy,203.0,Slovenia,144.0,6.922787033022609,2.766214259585217,5.236226873686819,0.07935416017572165,6.9811449627337225,4.495361118798348,4.447005420461895,6.259391795889975,1.681260945709282
Croatia,2017,Italy,210.0,Slovenia,165.0,6.922787033022609,2.766214259585217,5.236226873686819,0.07935416017572165,6.9811449627337225,4.495361118798348,4.447005420461895,6.259391795889975,1.681260945709282
Croatia,2014,Czech Republic,661.486,Austria,304.0,6.90881606364639,2.665695262958259,5.805416774973477,0.0840630472854641,6.9785,3.7976300718368377,4.284863003801394,6.34809086920392,1.6112084063047285
Croatia,2015,Czech Republic,696.151,Austria,258.0,6.90881606364639,2.665695262958259,5.805416774973477,0.0840630472854641,6.9785,3.7976300718368377,4.284863003801394,6.34809086920392,1.6112084063047285
Croatia,2016,Czech Republic,688.953,Austria,169.0,6.90881606364639,2.766214259585217,5.236226873686819,0.07935416017572165,6.9811449627337225,4.495361118798348,4.447005420461895,6.259391795889975,1.681260945709282
Croatia,2017,Czech Republic,741.757,Austria,213.0,6.90881606364639,2.766214259585217,5.236226873686819,0.07935416017572165,6.9811449627337225,4.495361118798348,4.447005420461895,6.259391795889975,1.681260945709282
Estonia,2014,Finland,576.0,Finland,576.0,6.941664012581427,1.5452324251947294,5.635610319509332,0.3502626970227671,6.9885,2.692230258342647,4.622967488028263,5.866950815508915,1.6112084063047285
Estonia,2015,Finland,565.753,Finland,565.753,6.941664012581427,1.5452324251947294,5.635610319509332,0.3502626970227671,6.9885,2.692230258342647,4.622967488028263,5.866950815508915,1.6112084063047285
